date,petrol_inr_delhi
2017-05-01,68.09
2017-06-01,66.91
2017-07-01,63.09
2017-08-01,65.4
2017-09-01,69.26
2017-10-01,70.76
2017-11-01,69.14
2017-12-01,69.22
2018-01-01,69.97
2018-02-01,73.05
2018-03-01,71.57
2018-04-01,73.73
2018-05-01,74.63
2018-06-01,78.29
2018-07-01,75.55
2018-08-01,76.31
2018-09-01,78.68
2018-10-01,83.73
2018-11-01,79.39
2018-12-01,72.53
2019-01-01,68.65
2019-02-01,70.94
2019-03-01,71.81
2019-04-01,72.86
2019-05-01,73.13
2019-06-01,71.62
2019-07-01,70.44
2019-08-01,72.8
2019-09-01,71.77
2019-10-01,74.61
2019-11-01,72.86
2019-12-01,74.91
2020-01-01,75.14
2020-02-01,73.19
2020-03-01,71.49
2020-04-01,69.59
2020-05-01,69.59
2020-06-01,71.26
2020-07-01,80.43
2020-08-01,80.43
2020-09-01,82.08
2020-10-01,81.06
2020-11-01,81.06
2020-12-01,82.34
2021-01-01,83.71
2021-02-01,86.3
2021-03-01,91.17
2021-04-01,90.56
2021-05-01,90.4
2021-06-01,94.49
2021-07-01,98.81
2021-08-01,101.84
2021-09-01,101.34
2021-10-01,101.89
2021-11-01,109.69
2021-12-01,95.41
2022-01-01,95.41
2022-02-01,95.41
2022-03-01,95.41
2022-04-01,101.81
2022-05-01,105.41
2022-06-01,89.62
2022-07-01,96.72
2022-08-01,96.72
2022-09-01,96.72
2022-10-01,96.72
2022-12-01,96.72
2024-03-01,96.72
2026-01-01,94.77
